glioma,meningioma,notumor,pituitary
39.76105499267578,44.096370697021484,53.89039012345679,53.21272277832031
28.26108169555664,44.990787506103516,56.385660746843136,52.53450393676758
37.01230239868164,38.61421203613281,71.36853580702068,44.76416015625
38.778594970703125,39.65186796612136,36.88637198706643,54.7803955078125
30.152732849121094,52.49175262451172,52.987246157722346,33.57155990600586
26.93280029296875,45.33795928955078,75.27599848909564,46.002140045166016
42.4081916809082,36.30110549926758,60.2594962962963,54.11353302001953
46.66035842895508,43.36648941040039,29.245408087690713,48.568199157714844
28.306236267089844,32.08137893676758,41.307071907302564,44.54823303222656
27.34497833251953,53.49721908569336,94.01255892255892,54.451812744140625
35.69374084472656,39.07231903076172,91.23714759535655,47.183902740478516
20.236740112304688,52.74888413423149,30.16170745272525,38.31034851074219
41.81541061401367,40.60490417480469,40.57560966047205,41.35308837890625
27.55133819580078,22.581558227539062,53.65205341395818,41.061744689941406
25.51189422607422,34.05762481689453,57.787245858433735,45.2263069152832
39.06254577636719,109.16538082534188,51.34200493827161,39.17660283687943
31.565937042236328,32.4377326965332,94.35223613595707,68.93404388427734
24.86219024658203,40.05363845825195,88.04789576706631,59.59233474731445
27.325660705566406,29.96472930908203,84.04558134184569,51.913108825683594
18.955333709716797,28.129745483398438,32.12862433862434,35.03193664550781
27.819660186767578,29.444461822509766,51.66517361661646,43.624366760253906
31.37618637084961,46.3856086730957,33.242399791775114,31.40053939819336
30.90060806274414,47.976173400878906,54.06043771043771,35.526878356933594
32.02911376953125,36.63443374633789,63.36326368159204,50.28945541381836
28.558879852294922,39.38455581665039,50.65523516237402,52.679908752441406
